Group,Common Name,Species Code,Call,Reference,Granularity,BinSize_m,Notes,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Var17
Mysticetes,Sei Whale,Bb,Downsweep,Baumgartner et al 2008,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Sei Whale,Bb,LF Downsweep,Rankin et al 2007,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Sei Whale,Bb,All,,,,Presence of Sei whales producing any call type,,,,,,,,,
,Sei Whale,Bb,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Bryde's Whale,Be,Be1,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Upper_Hz,Lower_Hz,,,
,Bryde's Whale,Be,Be2,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bryde's Whale,Be,Be3,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,TonalStart_Hz,TonalEnd_Hz,TonalDuration_s,,
,Bryde's Whale,Be,Be4,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Upper_Hz,Lower_Hz,,,
,Bryde's Whale,Be,Be5,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,F0Start_Hz,F0End_Hz,,,
,Bryde's Whale,Be,Be6,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,PulseCount,HarmonicsPresent,HarmonicsCount,IPI_s,
,Bryde's Whale,Be,Be7,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bryde's Whale,Be,Be8a,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,PulseCount,HarmonicsPresent,HarmonicsCount,IPI_s,
,Bryde's Whale,Be,Be8b,Oleson et al 2003,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bryde's Whale,Be,Be9,"Ana, unpublished- GoM",,,,Start_Hz,End_Hz,Duration_s,RL_dB,PulseCount,HarmonicsPresent,HarmonicsCount,IPI_s,
,Bryde's Whale,Be,Unspecified,,,,Presence of Bryde's whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Bryde's Whale,Be,All,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Blue Whale,Bm,A NE Pacific,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,PulseCount,,,,
,Blue Whale,Bm,B NE Pacific,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,D,Thompson 1965,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Max_Hz,Min_Hz,,,
,Blue Whale,Bm,NEPac Song,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,New Zealand,Kibblewhite et al 1967,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Enterprise,??,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,CenPac tonal,??,,,,Start_Hz,End_Hz,Duration_s,RL_dB,HarmonicsPresent,,,,
,Blue Whale,Bm,W Australia,Sirovic et al 2004,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Antarctic,Ljungblad et al 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Chile,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Sri Lanka,Alling et al 1991,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Madagascar,Ljungblad et al 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,A N Atlantic,Clark & Charif 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,B N Atlantic,Clark & Charif 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,9Hz,Clark & Charif 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Arch Sound,Clark & Charif 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Upper_Hz,,,,
,Blue Whale,Bm,N Atlantic Song,Clark & Charif 1998,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,All,,,,Presence of Blue whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Blue Whale,Bm,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Fin Whale,Bp,20Hz,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,Overtone_Hz,,,,
,Fin Whale,Bp,40Hz,Watkins 1981,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Call-Countercall,??,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Song,Cummings & Thompson 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,J-Calling,Watkins 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Higher_Calls,Watkins 1981,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Gulf_of_CA_Song,Thompson et al 1992,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Bering_Sea_Song,??,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Mediterranean_Song,Hatch & Clark 2004,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,All,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Fin Whale,Bp,Unspecified,,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Gray Whale,Er,1,Crane & Lashkari 1996; Dahlheim 1984,,,"Gray whale calls are traditionally prefixed by an S, M, or N depending upon the whale's location on calving grounds (S), migration routes (M), or feeding grounds (N).",Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,,,
,Gray Whale,Er,2,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,3,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,SidebandInterval_s,,,,
,Gray Whale,Er,4,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,5,Crane & Lashkari 1996; Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,6,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,,,
,Gray Whale,Er,7,Dahlheim 1984,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,All,,,,Presence of Gray whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Gray Whale,Er,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Humpback Whale,Mn,Song,Payne & McVay 1971,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Non-Song,Dunlop et al 2008; Stimpert et al 2011,,,,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Non-Song/Scream,??,,,not sure what this separate category refers to?,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,Unspecified,,,,Call type not previously described,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,Humpback Whale,Mn,All,,,,Presence of Humpback whales producing any call type,Start_Hz,End_Hz,Duration_s,RL_dB,,,,,
,,,,,,,,,,,,,,,,
,Minke Whale,Ba,Boing,Rankin & Barlow 2007,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,Peak_Hz,,
,Minke Whale,Ba,Bio-duck,Risch et al 2014,,,,,,,,,,,,
,Minke Whale,Ba,Pulse_train,Mellinger et al 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
,Minke Whale,Ba,Pulse_train/Speed-Up,Mellinger et al 2000,,,,Start_Hz,End_Hz,Duration_s,RL_dB,IPI_s,PulseCount,StartIPI,EndIPI,Peak_Hz
